date,time,url,user_agent,source
"2025-12-22","00:05:42","/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46","204.76.203.219"
"2025-12-22","01:28:08","/","","141.98.11.140"
"2025-12-22","00:22:18","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.149.59.26"
"2025-12-22","08:48:39","/","","112.218.136.6"
"2025-12-22","04:12:22","/","Mozilla/1.0","87.121.84.148"
"2025-12-22","06:38:18","/","Mozilla/1.0","87.121.84.57"
"2025-12-22","08:27:42","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.122"
"2025-12-22","07:01:17","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.115"
"2025-12-22","05:28:58","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.132.23.201"
"2025-12-22","04:05:39","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.124"
"2025-12-22","08:27:28","/","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.122"
"2025-12-22","08:27:45","/wiki","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","162.142.125.122"
"2025-12-22","05:41:32","/","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.126"
"2025-12-22","10:27:50","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","66.132.153.130"
"2025-12-22","19:11:25","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.58"
"2025-12-22","05:41:57","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","206.168.34.126"
"2025-12-22","10:57:13","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.138.198"
"2025-12-22","00:59:06","/","Mozilla/5.0","134.199.166.188"
"2025-12-22","04:47:10","/","cypex.ai/scanning Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36","3.137.73.221"
"2025-12-22","12:22:17","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","199.45.154.158"
"2025-12-22","06:20:41","/","Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36","172.236.228.229"
"2025-12-22","07:24:51","/actuator/gateway/routes","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36","79.124.40.174"
"2025-12-22","23:08:56","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.146.49"
"2025-12-22","19:22:19","/.env","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0 abuse.xmco.fr","35.216.189.16"
"2025-12-22","07:02:44","/favicon.ico","Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)","167.94.138.165"
"2025-12-22","19:58:57","/ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php","libredtail-http","115.190.108.231"
"2025-12-22","10:27:46","/","","66.132.153.130"
"2025-12-22","12:28:10","/cgi-bin/login","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0","94.231.206.109"
"2025-12-22","16:33:02","/hello.world?d+allow_url_include=1+d+auto_prepend_file=php://input","libredtail-http","180.76.55.228"
"2025-12-22","17:46:34","/ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php","libredtail-http","125.17.108.32"
"2025-12-22","19:00:45","/hello.world?d+allow_url_include=1+d+auto_prepend_file=php://input","libredtail-http","217.154.69.208"
"2025-12-22","06:22:32","/geoserver/web/","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","74.82.47.4"
"2025-12-22","19:56:59","/vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php","libredtail-http","115.190.108.231"
"2025-12-22","08:22:56","/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36","154.29.232.141"
"2025-12-22","23:39:12","/","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","45.82.78.107"
"2025-12-22","12:25:42","/","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0","94.231.206.248"
"2025-12-22","14:25:43","/.env","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36","45.61.100.93"
"2025-12-22","17:46:00","/vendor/phpunit/phpunit/LICENSE/eval-stdin.php","libredtail-http","125.17.108.32"
"2025-12-22","02:15:31","/","Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity","205.210.31.65"
